,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price XOF,Variant Price XAF,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,anastrozole-1mg-comprime,ANASTROZOLE 1 mg comprimé,,Inhibiteur de l'aromatase.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-ANA-001,,FALSE,FALSE,,,,,,,,,,,4500,4500,,,,
,ranitidine-150mg-comprime,RANITIDINE 150 mg comprimé,,Antagoniste des récepteurs H2.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-RAN-002,,FALSE,FALSE,,,,,,,,,,,2500,2500,,,,
,actaea-racemosa-granules,ACTAEA RACEMOSA granules,,Médicament homéopathique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-ACT-003,,FALSE,FALSE,,,,,,,,,,,1800,1800,,,,
,curcuma-xanthorrhiza-sol-buv,CURCUMA XANTHORRHIZA solution buvable,,Préparation à base de plantes.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-CUR-004,,FALSE,FALSE,,,,,,,,,,,2200,2200,,,,
,beclometasone-800mcg-suspension,BECLOMETASONE DIPROPIONATE 800 mcg suspension,,Corticoïde local.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-BEC-005,,FALSE,FALSE,,,,,,,,,,,6500,6500,,,,
,fenofibrate-100mg-gelule,FENOFIBRATE 100 mg gélule,,Hypolipidémiant.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-FEN-006,,FALSE,FALSE,,,,,,,,,,,3200,3200,,,,
,tramadol-200mg-comprime,TRAMADOL 200 mg comprimé,,Antalgique central de palier 2.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-TRA-007,,FALSE,FALSE,,,,,,,,,,,5000,5000,,,,
,cabazitaxel-60mg-perfusion,CABAZITAXEL 60 mg solution pour perfusion,,Agent antinéoplasique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-CAB-008,,FALSE,FALSE,,,,,,,,,,,85000,85000,,,,
,famotidine-20mg-comprime,FAMOTIDINE 20 mg comprimé,,Anti-acide,antagoniste H2.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-FAM-009,,FALSE,FALSE,,,,,,,,,,1900,1900,,,,
,rhododendron-granules,RHODODENDRON granules,,Souche homéopathique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-RHO-010,,FALSE,FALSE,,,,,,,,,,,1800,1800,,,,
,pilocarpine-200mg-solution,CHLORHYDRATE DE PILOCARPINE 200 mg solution,,Parasympathomimétique direct.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-PIL-011,,FALSE,FALSE,,,,,,,,,,,4100,4100,,,,
,atorvastatine-40mg-comprime,ATORVASTATINE 40 mg comprimé,,Statine hypolipidémiante.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-ATO-012,,FALSE,FALSE,,,,,,,,,,,4200,4200,,,,
,sulfate-de-zinc-gel,SULFATE DE ZINC 0,5 g gel,,Gel protecteur et cicatrisant.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-ZIN-013,,FALSE,FALSE,,,,,,,,,,1500,1500,,,,
,dutasteride-0-5mg-capsule,DUTASTERIDE 0,5 mg capsule,,Inhibiteur de la 5-alpha réductase.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-DUT-014,,FALSE,FALSE,,,,,,,,,,5800,5800,,,,
,glucose-anhydre-15g-solution,GLUCOSE ANHYDRE 15 g solution,,Solution glucidique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-GLU-015,,FALSE,FALSE,,,,,,,,,,,1100,1100,,,,
,rivastigmine-1-5mg-gelule,RIVASTIGMINE 1,5 mg gélule,,Anticholinestérasique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-RIV-016,,FALSE,FALSE,,,,,,,,,,4800,4800,,,,
,paracetamol-500mg-comprime,PARACETAMOL 500 mg comprimé,,Antalgique et antipyrétique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-PAR-017,,FALSE,FALSE,,,,,,,,,,,1200,1200,,,,
,paracetamol-codeine-comprime,PHOSPHATE DE CODEINE 30 mg / PARACETAMOL comprimé,,Association antalgique de niveau 2.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-COD-018,,FALSE,FALSE,,,,,,,,,,,2400,2400,,,,
,thiopental-sodique-poudre,THIOPENTAL SODIQUE poudre pour solution injectable,,Anesthésique général intraveineux.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-THI-019,,FALSE,FALSE,,,,,,,,,,,14500,14500,,,,
,thiopental-500mg-flacon-poudre,THIOPENTAL 500 mg flacon poudre,,Anesthésique d'induction hospitalier.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-THI-020,,FALSE,FALSE,,,,,,,,,,,12500,12500,,,,
,chlorure-de-sodium-5-85g-solution,CHLORURE DE SODIUM 5.85 g solution,,Solution saline concentrée.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-SOD-021,,FALSE,FALSE,,,,,,,,,,,900,900,,,,
,ciprofloxacine-250mg-comprime,CIPROFLOXACINE 250 mg comprimé,,Antibiotique fluoroquinolone.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-CIP-022,,FALSE,FALSE,,,,,,,,,,,3100,3100,,,,
,nitrate-de-fer-200mg-capsule,NITRATE DE FER 200 mg capsule,,Supplémentation martiale.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-FER-023,,FALSE,FALSE,,,,,,,,,,,2400,2400,,,,
,fenticonazole-175-7mg-capsule,FENTICONAZOLE 175.7 mg capsule,,Antifongique local vaginal.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-FEN-024,,FALSE,FALSE,,,,,,,,,,,3500,3500,,,,
,gelsemium-pc-granules,GELSEMIUM PC granules,,Souche homéopathique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-GEL-026,,FALSE,FALSE,,,,,,,,,,,1800,1800,,,,
,carvedilol-25mg-comprime,CARVEDILOL 25 mg comprimé,,Bêta-bloquant cardiovasculaire.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-CAR-027,,FALSE,FALSE,,,,,,,,,,,4600,4600,,,,
